Location,Source,WMO,Lat,Lon,Altitude
SAN_JUAN,TMY2-11641,785260,18.43,-66,19
San Juan Intl Arpt,TMY3,785260,18.42,-66,19
BRAGANCA,IWEC Data,85750,41.8,-6.73,692
COIMBRA,IWEC Data,85490,40.2,-8.42,140
EVORA,IWEC Data,85570,38.57,-7.9,321
FARO,IWEC Data,85540,37.02,-7.97,4
LAJES,IWEC Data,85090,38.77,-27.1,55
Lisboa,INETI,85360,38.73,-9.15,71
PORTO,IWEC Data,85450,41.23,-8.68,73
ASUNCION,IWEC Data,862180,-25.25,-57.57,101
BUCHAREST,IWEC Data,154200,44.5,26.13,91
CONSTANTA,IWEC Data,154800,44.22,28.63,14
CRAIOVA,IWEC Data,154500,44.23,23.87,195
GALATI,IWEC Data,153100,45.5,28.02,72
TIMISOARA,IWEC Data,152470,45.77,21.25,88
ARKHANGEL'SK,IWEC Data,225500,64.53,40.47,13
MOSCOW,IWEC Data,276120,55.75,37.63,156
SAMARA,IWEC Data,289000,53.25,50.45,44
RIYADH,IWEC Data,404380,24.7,46.8,612
DAKAR,IWEC Data,616410,14.73,-17.5,24
SINGAPORE,IWEC Data,486980,1.37,103.98,16
BELGRADE,IWEC Data,132720,44.82,20.28,99
PODGORICA,IWEC Data,134620,42.37,19.25,33
LJUBLJANA,IWEC Data,130140,46.22,14.48,385
GOTEBORG_ LANDVETTER,IWEC Data,25260,57.67,12.3,169
KARLSTAD,IWEC Data,24180,59.37,13.47,55
KIRUNA,IWEC Data,20440,67.82,20.33,452
OSTERSUND/FROSON,IWEC Data,22260,63.18,14.5,370
STOCKHOLM_ ARLANDA,IWEC Data,24600,59.65,17.95,61
DAMASCUS,IWEC Data,400800,33.42,36.52,605
BANGKOK,IWEC Data,484560,13.92,100.6,12
TUNIS,IWEC Data,607150,36.83,10.23,4
ANKARA,IWEC Data,171280,40.12,32.98,949
ISTANBUL,IWEC Data,170600,40.97,28.82,37
IZMIR,IWEC Data,172180,38.5,27.02,5
TAIPEI,IWEC Data,466960,25.07,121.55,6
KIEV,IWEC Data,333450,50.4,30.45,168
ODESSA,IWEC Data,338370,46.45,30.7,35
Wake Island,TMY--41606,912450,19.28,166.65,4
MONTEVIDEO,IWEC Data,865800,-34.83,-56,32
Adak NAS,TMY--25704,704540,51.88,-176.65,5
Adak Nas,TMY3,704540,51.88,-176.65,5
Ambler,TMY3,701718,67.1,-157.85,88
Anaktuvuk Pass,TMY3,701625,68.13,-151.73,657
ANCHORAGE,TMY2-26451,702730,61.17,-150.02,35
Anchorage Intl Ap,TMY3,702730,61.18,-150,35
ANNETTE,TMY2-25308,703980,55.03,-131.57,34
Annette,TMY--25308,703980,55.03,-131.57,34
Annette Island Ap,TMY3,703980,55.05,-131.57,33
Anvik,TMY3,702075,62.65,-160.18,99
BARROW,TMY2-27502,700260,71.3,-156.78,4
BETHEL,TMY2-26615,702190,60.78,-161.8,46
Bethel,TMY--26615,702190,60.78,-161.8,46
Bethel Airport,TMY3,702190,60.78,-161.83,38
BETTLES,TMY2-26533,701740,66.92,-151.52,205
Bettles Field,TMY3,701740,66.92,-151.52,196
BIG_DELTA,TMY2-26415,702670,64,-145.73,388
COLD_BAY,TMY2-25624,703160,55.2,-162.72,29
Cold Bay Arpt,TMY3,703160,55.2,-162.72,29
Cordova,TMY3,702960,60.5,-145.5,12
Deadhorse,TMY3,700637,70.2,-148.48,23
Dillingham  Amos,TMY3,703210,59.05,-158.52,29
Fairbanks Eielson A,TMY3,702650,64.65,-147.1,167
FAIRBANKS,TMY2-26411,702610,64.82,-147.87,138
Fairbanks/Int'l Airpor,TMY--26411,702610,64.82,-147.87,138
Fairbanks Intl Arpt,TMY3,702610,64.82,-147.85,133
Fort Yukon,TMY3,701940,66.57,-145.27,136
Gulkana,TMY--26425,702710,62.15,-145.45,481
GULKANA,TMY2-26425,702710,62.15,-145.45,481
Gulkana Intermediate Field,TMY3,702710,62.15,-145.45,478
Homer,TMY--25507,703410,59.65,-151.48,25
Homer Arpt,TMY3,703410,59.65,-151.48,27
Hooper Bay,TMY3,702186,61.52,-166.15,6
Iliamna Arpt,TMY3,703400,59.75,-154.92,57
Juneau,TMY--25309,703810,58.35,-134.58,3
Juneau IntL Arpt,TMY3,703810,58.35,-134.58,4
Kake Seaplane Base,TMY3,703855,56.97,-133.95,0
Kenai Municipal Ap,TMY3,702590,60.58,-151.23,26
Ketchikan Intl Ap,TMY3,703950,55.37,-131.72,23
KING_SALMON,TMY2-25503,703260,58.68,-156.65,15
King Salmon,TMY--25503,703260,58.68,-156.65,15
King Salmon Arpt,TMY3,703260,58.68,-156.65,15
KODIAK,TMY2-25501,703500,57.75,-152.33,34
Kodiak/State USCG Base,TMY--25501,703500,57.75,-152.5,34
